DesignName,ParticipantID,TrialID,BlockID,Condition,Grid,Time,Success
Preattentive,12,418,6,Courbure_Taille,25,6.221,True
Preattentive,12,419,6,Courbure_Taille,25,6.611,True
Preattentive,12,420,6,Courbure_Taille,25,3.199,True
Preattentive,12,421,7,Courbure_Taille,36,7.202,True
Preattentive,12,422,7,Courbure_Taille,36,11.576,True
Preattentive,12,423,7,Courbure_Taille,36,20.647,True
Preattentive,12,424,7,Courbure_Taille,36,12.723,True
Preattentive,12,425,8,Taille,49,1.297,True
Preattentive,12,426,8,Taille,49,0.924,True
Preattentive,12,427,8,Taille,49,0.992,True
Preattentive,12,428,8,Taille,49,0.674,True
Preattentive,12,429,9,Taille,25,0.632,True
Preattentive,12,430,9,Taille,25,0.634,True
Preattentive,12,431,9,Taille,25,0.656,True
Preattentive,12,432,9,Taille,25,0.763,True

